CustomerID,Age,Tenure,MonthlySpend,SubscriptionType,TotalSpend,Churn,CLV
87,40,7,4997,2,34979,0,41893.64615616631
88,57,46,3507,2,161322,0,187264.9251774714
89,38,34,2796,1,95064,1,93043.60854947093
90,33,42,983,2,41286,0,60443.735797069516
91,62,19,2579,2,49001,0,60438.80592275474
92,35,58,3803,2,220574,0,212006.86137476822
93,64,9,1182,0,10638,1,11370.253310022956
94,41,48,4142,1,198816,0,259427.1648144889
95,43,51,2790,0,142290,0,143483.48567469095
96,42,18,1242,1,22356,1,31649.933377295838
97,62,41,2738,2,112258,0,102825.15430584889
98,58,48,1061,0,50928,0,50171.90065164591
99,46,45,2076,2,93420,0,84211.49992246274
100,32,42,2035,2,85470,0,74608.91574414202
101,62,25,4408,1,110200,1,111326.33176600731
102,18,52,3726,2,193752,0,290516.616321989
103,42,14,1885,0,26390,0,22854.547251182794
104,24,44,3601,1,158444,1,150379.44349953622
105,26,25,1822,1,45550,0,45100.5016386021
106,41,19,2857,0,54283,1,66952.15166354325
107,18,39,2132,2,83148,0,109900.20277544408
108,61,55,707,2,38885,0,51575.258662689695
109,25,15,4761,2,71415,0,57563.71705511314
110,41,16,3678,2,58848,1,73930.46705960165
111,28,27,2856,2,77112,0,95735.76756922924
112,68,40,1321,1,52840,1,61419.011373742775
113,34,10,489,1,4890,0,5210.030905685067
114,25,4,3029,0,12116,0,16456.083727508183
115,52,51,2409,2,122859,0,127861.39545230236
116,52,19,1600,2,30400,0,29214.661150428474
117,50,28,766,2,21448,0,21814.044912888312
118,22,21,1673,0,35133,1,38918.70519060173
119,59,59,2187,2,129033,0,122560.72686231024
120,56,47,3987,1,187389,0,229607.71777863996
121,58,14,4065,2,56910,1,80752.24200046639
122,45,33,3460,0,114180,0,138936.745883778
123,24,48,3747,1,179856,1,200119.98257675633
124,26,10,3451,1,34510,0,46857.95878569501
125,25,19,1916,1,36404,0,48185.31861898705
126,29,30,1212,2,36360,0,38430.36330919928
127,51,22,1510,0,33220,0,40624.98480685233
128,50,3,4770,0,14310,0,18758.835931805315
129,65,37,817,2,30229,1,29377.27617866878
130,40,41,4936,0,202376,1,213788.32978747942
131,41,18,4457,1,80226,0,70120.99372515937
132,54,11,2182,1,24002,1,35796.011427944424
133,52,48,2428,0,116544,0,100241.16742363975
134,61,2,668,0,1336,1,1226.4804482155696
135,57,12,4316,2,51792,0,58829.619435903594
136,39,54,4555,2,245970,0,345757.63902786525
137,44,6,1339,2,8034,0,8428.609320654736
138,52,43,1636,2,70348,0,94126.84125057458
139,18,59,736,2,43424,0,55288.47251977896
140,52,40,1151,2,46040,0,57414.865878702134
141,54,44,3013,1,132572,0,184475.53889662315
142,64,29,3206,0,92974,0,75301.4279555523
143,31,59,4194,2,247446,1,358897.4419457303
144,20,30,2040,1,61200,0,84484.04956560681
145,18,2,1050,0,2100,0,3058.6648128881857
146,22,9,2171,0,19539,0,26485.339563873065
147,43,47,1391,0,65377,0,92509.36931159659
148,31,2,4120,2,8240,0,7763.3541820145965
149,56,29,4828,2,140012,0,143296.7300781127
150,44,33,2262,2,74646,0,76187.79144007534
151,26,10,3246,0,32460,0,28448.486799841205
152,32,34,4599,0,156366,0,204949.77288228125
153,32,44,3758,1,165352,1,148042.89061331502
154,43,55,4711,1,259105,0,216807.77123384053
155,59,8,504,1,4032,0,5414.221246043412
156,30,37,3047,1,112739,0,161584.7747646856
157,68,54,2635,0,142290,0,189940.97782737119
158,49,33,3004,2,99132,0,136578.77089372164
159,56,47,2184,2,102648,0,124915.9617901811
160,66,6,4136,2,24816,0,35274.019185184756
161,69,44,912,2,40128,0,46054.60213803921
162,49,40,3095,1,123800,0,184688.03811812372
163,21,45,1881,0,84645,0,73843.49640665401
164,47,19,1533,2,29127,0,39799.904510863846
165,54,32,3398,0,108736,0,135808.2836775814
166,40,27,374,1,10098,0,12182.754797828342
167,56,1,3405,1,3405,0,4453.969400307483
168,62,43,1616,2,69488,0,96463.52452450528
169,32,52,2187,2,113724,0,159670.6393321591
170,60,33,1972,1,65076,0,60049.96408117994
171,46,40,4466,1,178640,0,167550.9489437493
172,53,32,1274,0,40768,0,33075.75338189523
173,30,5,4960,1,24800,0,22128.785067273857
174,49,17,791,0,13447,1,13241.499516947055
175,24,8,3178,1,25424,0,33171.33032676287
176,68,57,4182,0,238374,0,270086.622933675
177,39,42,2610,1,109620,0,145852.96989950398
178,45,34,1047,1,35598,0,40602.19217748472
179,19,9,693,0,6237,0,7415.282919659631
180,59,56,745,0,41720,0,36619.58859487898
181,62,23,2486,2,57178,0,76823.83472084433
182,23,35,2897,2,101395,0,134925.1678126617
183,45,50,4037,1,201850,0,204936.91509651317
184,45,7,1740,1,12180,1,12545.456691326228
185,61,15,1083,0,16245,1,15494.10761519241
186,61,53,4156,1,220268,0,301698.3864327919
187,37,54,3294,2,177876,0,235313.00733402756
188,47,20,2565,0,51300,0,62914.49527819652
189,28,50,3547,1,177350,0,171528.5699930363
190,45,25,3271,0,81775,0,75257.31439214226
191,42,3,3875,2,11625,0,9709.062776433415
192,56,55,4915,2,270325,0,224890.9466682448
193,50,46,1152,2,52992,1,49335.302824506005
194,18,24,3500,1,84000,1,73111.31290060547
195,44,34,3935,1,133790,0,159113.15189220555
196,69,46,3379,1,155434,1,163308.76664652472
197,30,22,3163,1,69586,0,77342.19803856684
198,58,11,4227,1,46497,0,56533.23928467749
199,20,48,3447,1,165456,0,208701.43686544767
200,56,8,4615,2,36920,0,46288.125248645345
201,23,39,3557,2,138723,0,136309.16580548242
202,25,43,2904,1,124872,1,170667.42169489045
203,44,35,1237,2,43295,0,62448.56811140714
204,26,49,270,0,13230,0,13509.905033634013
205,54,46,3074,1,141404,0,114812.3827148758
206,50,38,305,0,11590,0,16566.83791627932
207,68,8,969,1,7752,1,11213.144844498744
208,59,54,2209,1,119286,0,99682.83796377639
209,61,37,3140,2,116180,0,93347.09978954229
210,41,27,2392,0,64584,0,88575.88055336228
211,32,28,3695,2,103460,0,104600.57905837554
212,49,40,4511,1,180440,0,259871.0443868217
213,49,34,4555,0,154870,0,147392.9540345783
214,41,32,1133,1,36256,1,50860.21523359988
215,58,15,774,2,11610,1,9845.871980055374
216,69,44,4130,1,181720,1,178530.04952572673
217,66,17,4580,1,77860,0,115325.47017119573
218,66,33,4287,2,141471,1,136072.13531943058
219,69,47,2731,1,128357,0,114636.80331784404
220,29,46,2619,0,120474,1,168656.16154142216
221,56,52,269,2,13988,1,12343.8582326117
222,19,54,4674,1,252396,1,219135.07238672266
223,20,16,1502,2,24032,1,24666.386977390048
224,66,29,4014,1,116406,0,144894.03509724795
225,54,9,2549,2,22941,0,29766.462792599938
226,66,33,454,2,14982,0,21227.50362151143
227,34,49,1907,0,93443,0,110135.47700413772
228,66,29,4987,2,144623,0,155526.4824023128
229,19,13,1033,0,13429,0,14116.345011372523
230,19,21,2964,2,62244,0,86695.42940194631
231,45,58,2671,2,154918,0,202426.8140801049
232,40,21,3942,1,82782,1,118692.85722993614
233,54,5,2235,1,11175,0,16481.167352460554
234,49,10,2167,1,21670,0,21887.471132555278
235,50,6,299,2,1794,0,2100.364758264514
236,18,56,2052,2,114912,1,142752.2548311354
237,36,51,3383,0,172533,0,157814.94523392778
238,19,57,2555,0,145635,0,121946.43669996562
239,61,13,311,0,4043,1,5690.258653337749
240,43,1,3358,1,3358,0,3945.2015643815803
241,49,20,382,1,7640,0,9164.500509093488
242,23,57,4052,0,230964,0,274486.86581419554
243,49,47,364,2,17108,0,22727.507416794368
244,21,46,2337,1,107502,0,96950.82504004631
245,28,8,2223,1,17784,0,21871.36622947666
246,34,10,654,0,6540,0,7381.277204002391
247,55,9,2485,1,22365,0,31934.328466173178
248,41,49,741,0,36309,0,42254.041643854376
249,22,41,2865,1,117465,0,171505.2997107353
250,69,3,2649,2,7947,1,8322.711081323403
251,51,11,4133,2,45463,0,67140.95382562571
252,23,12,3086,1,37032,1,52311.794393614044
253,39,10,4814,0,48140,0,58200.50433750198
254,28,25,4492,1,112300,0,117645.13785820852
255,65,49,4104,0,201096,0,213794.47844319599
256,33,49,1888,1,92512,0,124051.78871570063
257,50,25,1837,2,45925,0,55405.846361706856
258,26,11,4928,2,54208,0,58604.88188318466
259,23,54,4870,1,262980,0,327472.8136265197
260,33,36,4282,1,154152,0,202442.17632725846
261,46,39,2090,1,81510,1,66514.6345450484
262,20,53,3405,2,180465,1,155723.96328257
263,37,26,677,2,17602,0,15245.792905431785
264,53,14,2566,0,35924,0,34571.59301419603
265,36,39,2726,1,106314,0,116827.74308920886
266,43,56,566,1,31696,0,43187.54104558376
267,20,40,2036,2,81440,0,85167.45378725477
268,36,1,1915,1,1915,1,1555.4289753242008
269,37,56,212,0,11872,1,13514.530342770047
270,49,54,735,1,39690,0,59441.332266682264
271,24,4,3439,2,13756,0,14365.592971360347
272,69,30,2517,1,75510,0,111217.03009848396
273,58,12,4242,2,50904,0,44334.41078875792
274,50,56,575,0,32200,0,29661.66628918557
275,57,35,1924,0,67340,0,88005.6661425284
276,56,13,456,1,5928,0,6822.231178248843
277,35,52,2464,1,128128,1,171125.86850413395
278,57,31,649,2,20119,0,28256.951240545364
279,18,38,1093,0,41534,0,40527.191469623314
280,28,43,3412,0,146716,1,187500.17519916603
281,45,23,1384,0,31832,0,39004.413795168
282,42,4,3423,0,13692,0,19210.89633378906
283,67,52,1508,1,78416,1,86341.7192291572
284,40,16,4905,1,78480,1,65633.55398152082
285,48,7,1116,2,7812,0,9389.479418377005
286,47,22,347,0,7634,0,11231.253961705213
287,59,29,4951,1,143579,0,116333.71108552633
288,52,11,2314,1,25454,0,24644.068786113614
289,24,56,4216,0,236096,0,241112.43865755823
290,33,33,4140,1,136620,0,182536.23620456556
291,43,58,4271,2,247718,1,254231.4588759777
292,65,29,2995,2,86855,0,84019.9402565411
293,69,59,642,0,37878,1,47498.65633038781
294,66,39,3144,2,122616,0,102075.82163786935
295,19,12,4136,1,49632,0,45632.54434743077
296,18,7,598,2,4186,1,4544.410176047204
297,65,59,1351,1,79709,0,83608.36217871308
298,29,55,3992,0,219560,0,229004.60908192946
299,22,39,3195,0,124605,0,109152.54818684282
300,54,42,2416,1,101472,0,106808.21091752684
301,49,48,1907,1,91536,0,124360.34646390352
302,26,26,3531,2,91806,0,100040.16655314817
303,58,40,2187,1,87480,0,105878.7786733733
304,52,9,4802,0,43218,0,39523.102438313086
305,36,41,2768,1,113488,0,96328.38225212524
306,65,34,360,2,12240,0,17331.46336726961
307,33,45,4635,2,208575,0,215241.22746880038
308,20,13,4104,1,53352,0,55765.43444105571
309,37,55,3773,2,207515,0,293505.3758592237
310,41,55,3377,2,185735,1,240608.5380426959
311,50,36,2025,0,72900,0,96912.08614169789
312,41,25,4124,1,103100,0,131700.1914523802
313,69,24,1823,0,43752,0,38241.63560588351
314,28,44,1376,0,60544,0,89035.82929301976
315,66,17,3920,2,66640,0,95721.38952194357
316,25,2,3420,0,6840,0,6603.021967269004
317,53,13,3459,1,44967,0,61280.84475521558
318,55,31,330,1,10230,0,11115.687845952309
319,57,29,3762,1,109098,1,139496.72606205553
320,37,50,1699,0,84950,0,77807.58238389397
321,52,28,2988,1,83664,0,98471.52197884314
322,65,27,3908,1,105516,0,93764.83182505415
323,42,15,1907,0,28605,1,33619.943235548235
324,52,31,1969,0,61039,0,59239.31203864335
325,42,40,1518,0,60720,0,67807.6373387897
326,46,15,3579,0,53685,0,68049.95483373152
327,35,33,2973,2,98109,0,138721.43709249914
328,63,20,3190,0,63800,0,58421.80687778851
329,35,42,3244,0,136248,0,194192.6913062014
330,19,12,575,1,6900,0,7403.881839488811
331,52,37,3236,1,119732,0,166506.21552662353
332,33,9,860,0,7740,1,8968.984621987442
333,58,23,1603,0,36869,1,51747.33748262949
334,53,8,940,0,7520,0,9505.10589142633
335,50,32,503,1,16096,0,18608.606499557252
336,21,48,1285,1,61680,0,62838.16801842219
337,50,14,3379,0,47306,0,69929.44930922169
338,31,27,1410,1,38070,0,51799.12167915236
339,38,25,3234,1,80850,0,86253.28874482414
340,65,13,428,0,5564,1,5100.555050246373
341,37,55,3319,1,182545,0,245646.20509097897
342,25,21,2054,0,43134,0,64397.37983730536
343,24,45,467,2,21015,0,20915.861057764163
344,20,31,2974,2,92194,0,132861.15606359683
345,34,37,3049,2,112813,1,100150.81178664304
346,50,48,4549,1,218352,0,320222.8980198806
347,65,58,2334,2,135372,1,178926.21347866964
348,29,43,3659,1,157337,0,164042.28764656433
349,68,54,2469,0,133326,0,135091.53963762737
350,39,5,1189,2,5945,1,7433.656225418611
351,39,13,4692,1,60996,0,74137.89306905377
352,63,28,1137,2,31836,0,45947.488180127104
353,47,43,639,1,27477,0,36719.44381906661
354,55,25,2558,1,63950,0,75349.43352077184
355,55,51,2207,0,112557,0,163128.4199219622
356,62,35,3545,1,124075,0,150740.1371578684
357,68,47,4330,1,203510,0,283851.5526337131
358,25,39,3943,2,153777,0,213543.94674815642
359,44,7,718,0,5026,1,7254.711352756259
360,44,38,468,1,17784,0,15068.76416698732
361,51,32,4933,2,157856,0,190796.40625238462
362,38,3,4385,0,13155,0,14837.193175798608
363,47,45,1588,1,71460,0,81705.91110566986
364,50,39,1894,2,73866,0,82873.02965290695
365,45,37,3473,0,128501,0,178131.51494022217
366,64,55,1589,0,87395,0,89396.61014882736
367,50,50,4065,0,203250,0,228437.91013887673
368,22,22,3229,0,71038,0,66809.66053782513
369,65,8,2535,1,20280,0,19797.369079667533
370,36,17,3874,1,65858,0,83132.16209420265
371,21,52,4776,0,248352,0,219010.4918954999
372,52,27,700,0,18900,0,17604.88255945958
373,66,33,1861,1,61413,0,71830.13048486719
374,34,46,2299,2,105754,0,87843.62095944038
375,61,17,302,0,5134,0,4563.350250517004
376,45,42,2946,1,123732,1,173762.67009096366
377,47,12,3476,1,41712,0,58075.73172638861
378,46,48,3285,2,157680,0,164530.13537066572
379,63,46,3737,1,171902,0,179395.88215923627
380,23,27,1527,0,41229,0,60011.31682039392
381,52,48,2674,1,128352,0,105003.33331752064
382,58,8,1879,0,15032,1,18131.701506888454
383,54,23,3946,1,90758,0,110558.98192080483
384,41,42,2762,0,116004,0,156781.83593893898
385,46,49,4363,0,213787,0,313459.92126831645
386,66,59,3517,1,207503,1,217687.10425597854
387,63,29,2636,0,76444,0,84584.0194314094
388,48,50,507,1,25350,0,32192.191536830545
389,52,20,4196,1,83920,1,123957.40418298631
390,50,16,1289,1,20624,0,29359.3910524261
391,69,17,4755,0,80835,0,102412.86066353384
392,38,16,2594,1,41504,1,58093.41858304387
393,49,19,4204,2,79876,0,68664.85238531906
394,40,56,866,0,48496,0,51599.20375438042
395,50,56,4363,2,244328,1,197701.60430237555
396,20,8,2434,2,19472,1,17996.61759639206
397,35,38,1436,2,54568,0,67737.70303776086
398,42,38,1823,2,69274,0,98361.67714576822
399,59,53,1574,1,83422,0,103689.05931409489
400,48,29,3511,2,101819,0,128790.51454225367
401,20,41,376,0,15416,0,13453.159706640725
402,57,36,1553,2,55908,1,70746.11422818966
403,63,26,3128,2,81328,0,90928.17688114109
404,41,31,825,2,25575,0,32122.408745893597
405,67,44,2854,1,125576,0,129132.46008162234
406,49,12,3808,2,45696,1,55156.90711316816
407,64,55,3915,2,215325,0,236178.90493809295
408,39,17,4474,2,76058,1,90588.57201359588
409,40,15,594,0,8910,1,8045.397325822963
410,19,9,1368,1,12312,1,13260.97691841521
411,44,39,397,1,15483,1,16442.86951521551
412,59,42,1168,1,49056,1,64531.99872360091
413,19,48,4108,0,197184,1,255252.05752159533
414,43,12,3355,2,40260,0,57821.455453098424
415,34,32,4964,0,158848,0,197358.93670610097
416,57,25,2704,1,67600,0,68964.37018182717
417,50,39,1476,1,57564,0,77611.08116013503
418,26,18,4367,1,78606,0,90231.69773732296
419,60,15,4518,0,67770,0,63395.12441903286
420,65,32,1469,1,47008,1,62200.42281218509
421,56,6,1564,2,9384,0,8377.772232200472
422,46,58,1123,0,65134,0,60229.88735416977
423,59,44,670,2,29480,0,39241.6873391877
424,43,43,3216,1,138288,0,185181.6386176112
425,52,52,2254,1,117208,0,158646.52366780312
426,67,35,4483,0,156905,1,157740.9250526673
427,42,34,2251,2,76534,0,107653.58312373029
428,41,38,3154,0,119852,0,156510.85500192843
429,30,56,1348,2,75488,0,104458.57226854813
430,24,54,3286,1,177444,0,229971.654144799
431,53,57,1159,0,66063,1,79653.31659791165
432,62,5,829,0,4145,0,3633.4089297220175
433,37,18,974,2,17532,1,22750.4935675591
434,18,16,559,1,8944,0,11478.036822988599
435,25,8,717,1,5736,0,5843.514398373402
436,63,25,1543,2,38575,1,50728.97331367612
437,33,32,2169,2,69408,1,82270.5647511931
438,31,26,3427,2,89102,0,106172.55026668675
439,29,52,3099,2,161148,0,170385.531143872
440,68,22,1134,2,24948,0,21997.887247947612
441,40,31,2186,1,67766,0,64503.06171302263
442,32,43,576,1,24768,0,33144.09567287924
443,45,10,3760,0,37600,0,37224.34160907825
444,51,56,1974,1,110544,0,88609.5431469331
445,19,57,1705,2,97185,0,145574.59665086877
446,49,12,2854,1,34248,0,32449.211601435254
447,40,53,1210,1,64130,1,80724.80493594085
448,39,28,3677,1,102956,0,149167.32733211617
449,68,6,1430,0,8580,0,10465.874684211427
450,42,59,1377,0,81243,0,110435.35098291459
451,39,20,4057,2,81140,0,120367.96050662838
452,39,5,2295,2,11475,0,16090.869218781007
453,66,23,1872,0,43056,0,51259.58290949488
454,69,9,2128,1,19152,0,20197.54696721491
455,59,58,4039,1,234262,0,266525.7607530333
456,23,59,3378,0,199302,0,276885.9472808983
457,32,29,4468,2,129572,0,181057.20448250714
458,60,16,2753,1,44048,0,61319.15233402885
459,54,54,2645,2,142830,0,173975.09301134883
460,50,46,4589,1,211094,0,239352.9727521879
461,25,22,751,2,16522,0,16818.349153968767
462,61,8,3097,1,24776,0,19879.08798359124
463,61,59,1239,2,73101,0,97600.04644964471
464,22,20,1084,2,21680,0,21547.725897493296
465,56,51,3251,2,165801,0,170903.44731294902
466,21,14,4429,0,62006,0,86215.42777950606
467,23,39,3797,2,148083,0,123882.65567013233
468,62,37,2755,0,101935,1,147737.8849409798
469,49,50,1289,0,64450,0,51621.44313081322
470,69,34,4775,2,162350,0,236611.87405433328
471,47,11,658,0,7238,1,8094.479370923237
472,64,54,4921,0,265734,0,231583.41757046554
473,52,40,4454,0,178160,0,226604.01243138296
474,57,33,2207,1,72831,0,103937.08353919162
475,69,31,2120,2,65720,0,72729.1018662579
476,33,59,4727,0,278893,0,358084.81595017726
477,30,54,1203,2,64962,0,96504.55272025583
478,67,44,3283,0,144452,0,139900.4007708937
479,59,34,2314,2,78676,0,108125.5770309946
480,47,50,2789,0,139450,0,140379.57042892466
481,36,7,2343,1,16401,0,18015.45408420703
482,34,58,4510,1,261580,1,260857.02111705946
483,36,49,2441,1,119609,0,133030.11345291988
484,45,54,2286,0,123444,1,99194.94736335383
485,43,23,1138,2,26174,0,26498.745873015767
486,54,46,4501,0,207046,0,230174.2483334309
487,43,56,4170,1,233520,0,290164.50938933325
488,40,7,4199,0,29393,1,36628.17435958344
489,26,54,4850,2,261900,0,316545.41743419546
490,29,25,3608,1,90200,0,90662.02972045763
491,18,3,970,0,2910,0,4257.862591561114
492,18,59,448,2,26432,0,28397.982466787318
493,64,38,572,1,21736,0,20688.88469474051
494,51,20,3126,2,62520,0,74283.7042916298
495,49,34,4057,2,137938,1,182664.40600622343
496,65,49,901,1,44149,1,35697.27000457116
497,42,44,2385,0,104940,1,104251.67809526213
498,57,44,1141,0,50204,0,69155.23167835234
499,62,30,4114,0,123420,0,142539.58034195538
500,18,17,993,0,16881,0,18331.78374872947
501,33,59,877,2,51743,1,75111.73743659929
502,56,10,1761,0,17610,0,15191.699142233232
503,22,35,4253,0,148855,0,183225.4915657507
504,39,20,652,2,13040,1,13555.498601873198
505,46,18,2666,2,47988,0,40769.47126609665
506,20,45,3856,1,173520,0,164778.26299390467
507,29,44,4346,2,191224,0,237032.33050821204
508,43,27,3954,1,106758,0,87519.55223311139
509,33,59,409,1,24131,1,29308.8893149123
510,68,59,2126,0,125434,0,184362.30301447993
511,54,49,4166,0,204134,0,276921.49771712476
512,39,36,2077,0,74772,0,77906.28937116521
513,46,23,826,2,18998,0,17036.368205904488
514,31,32,2926,2,93632,0,105387.03915329801
515,45,10,1658,0,16580,0,17824.582762286573
516,22,11,3024,0,33264,0,49237.80762756339
517,64,38,1450,2,55100,0,82259.21086238984
518,66,6,4958,1,29748,0,32348.250649424095
519,47,59,4563,1,269217,0,243412.22438578532
520,63,41,2363,0,96883,0,139262.2094986375
521,69,47,1823,0,85681,0,116138.84700499657
522,22,34,2053,0,69802,0,80823.1735210867
523,29,36,953,1,34308,1,36220.61096479443
524,33,37,2068,0,76516,0,85217.09952523453
525,43,17,381,1,6477,0,9270.639060715841
526,43,40,1713,2,68520,0,63672.238328530366
527,65,40,1102,2,44080,0,60158.11232778582
528,38,54,3544,2,191376,0,155537.67538355078
529,56,12,3653,0,43836,0,63316.73572396351
530,53,21,3807,2,79947,0,91955.68663111264
531,50,40,2756,1,110240,0,105689.67626309558
532,47,19,2339,1,44441,0,35641.66208918889
533,54,3,4444,1,13332,0,15887.51146491373
534,40,18,2364,0,42552,0,41324.01350764356
535,27,53,2812,0,149036,0,185085.57810719844
536,22,51,2221,1,113271,0,112910.6279755484
537,53,19,3021,1,57399,0,49455.94387604289
538,51,47,2481,1,116607,0,134510.38878081756
539,69,6,1770,1,10620,0,12692.386963566067
540,48,16,2172,2,34752,1,38811.48599728533
541,27,8,4186,1,33488,0,37527.486250377
542,36,48,2444,0,117312,0,142270.72506294464
543,49,18,2642,0,47556,1,55566.68724545648
544,18,52,913,0,47476,0,42386.44353253049
545,22,48,3745,0,179760,0,168607.6810685046
546,62,43,422,0,18146,1,16317.85816644008
547,21,39,1063,1,41457,0,53284.968466458806
548,33,49,4825,1,236425,0,276621.71571760246
549,41,49,1625,2,79625,0,87659.04994780512
550,33,12,2504,2,30048,1,40830.343090971
551,19,45,853,2,38385,0,39461.93961044296
552,66,10,1359,1,13590,0,16276.398685984312
553,45,7,2042,2,14294,0,12179.707578990628
554,49,46,643,1,29578,0,39074.988793965415
555,44,55,2665,0,146575,0,188588.48281919156
556,37,1,4869,1,4869,1,6629.950490532563
557,41,49,4636,1,227164,0,322375.9675688107
558,29,36,3057,0,110052,0,146437.3688106768
559,67,21,1480,0,31080,0,43236.72204960941
560,52,37,3239,0,119843,0,124871.39887235899
561,50,52,3995,2,207740,0,216119.4325094885
562,50,24,3837,2,92088,0,134541.541732054
563,68,55,3958,2,217690,1,313517.6115689961
564,60,25,299,0,7475,0,8850.012337333077
565,54,7,2286,2,16002,0,16907.571577353017
566,29,42,2510,0,105420,0,148241.71692391793
567,20,17,4445,0,75565,0,77558.99355531174
568,18,29,2937,0,85173,0,77298.29264075797
569,50,30,1807,2,54210,0,67634.82853843295
570,57,7,3153,2,22071,0,18315.29417383142
571,27,33,4181,0,137973,0,146992.4791096562
572,60,7,3394,2,23758,0,32438.333853290984
573,61,58,4539,1,263262,0,265013.04427734093
574,46,24,4882,2,117168,1,170118.66043646142
575,30,11,3292,0,36212,1,53198.22597926517
576,29,9,3162,0,28458,0,39017.95020102163
577,48,12,2862,0,34344,0,51218.93550322438
578,63,35,1055,1,36925,0,43258.92537229189
579,19,4,2346,0,9384,0,11246.158018090477
580,68,36,1586,0,57096,0,79096.04633927827
581,67,28,1916,2,53648,0,61425.01145376363
582,52,57,4351,1,248007,0,269014.18611425435
583,40,13,1925,2,25025,1,30788.946033399985
